ID,sq,sr,en
7.1,Filantropi,Filantropija,Philanthropy
7.2,Zhvillim i qëndrueshëm,Održivi razvoj,Sustainable Development
7.3,Dhënie të fondeve,Prikupljanje sredstava,Granting
7.4,Arsim,Obrazovanje,Education
7.5,Rini,Mladi,Youth
7.6,Të drejta të njeriut,Ljudska prava,Human Rights
7.7,Avokim,Zastupanje,Advocacy
7.8,Ngritje e kapaciteteve,Izgradnja kapaciteta,Capacity building
7.9,Promovimi i të drejtave të njeriut,Promocija ljudskih prava,Human Rights Promotion
7.10,Kulturë,Kultura,Kulturë - Culture
7.11,Flora dhe fauna,Flora i fauna,Wildlife Management
7.12,Ndihmë personave me nevoja të veçanta,Pomoć ljudima sa posebnim potrebama,Aid to  Special Needs Persons
7.13,Përfshirje sociale,Socijalna uključenost,Social Inclusion
7.14,Bujqësi,Poljoprivreda,Agriculture
7.15,Ndihmë humanitare,Humanitarna pomoć,Humanitarian Aid
7.16,Demokratizim,Demokratizacija,Democratization
7.17,Sport,Sport,Sport
7.18,Zhvillim ekonomik,Ekonomski razvoj,Economic Development
7.19,Rrobaqepësi,Krojenje,Tailoring
7.20,Shoqatë profesionale e ujërave,Udruženje profesionalnih voda,Waterworks Professional Association
7.21,Barazi gjinore,Rodna ravnopravnost,Gender Equality
7.22,Shëndetësi,Zdravstvo,Healthcare
7.23,Hulumtime dhe analiza,Istraživanje i analiza,Research and Analysis
7.24,Ndihmë sociale,Socijalna pomoć,Social Assistance
7.25,Shoqatë profesionale shëndetësore,Stručno zdravstveno udruženje,Healthcare Professional Association
7.26,Shoqatë e mediave,Udruženje medija,Media Association
7.27,Marrëdhënie ndër-etnike,Međuetnički odnosi,Inter-Ethnic Relations
7.28,Trashëgimi kulturore,Kulturno nasleđe,Cultural Heritage
7.29,Aktivizëm qytetar,Građanski aktivizam,Civic Activism
7.30,Shoqatë profesionale,Profesionalna asocijacija,Professional Association
7.31,Zhvillim rural,Ruralni razvoj,Rural Development
7.32,Përkrahje OJQ-ve të grave,Podržati ženske nevladine organizacije,Support to Women NGO’s
7.33,Punësim,Zapošljavanje,Employment
7.34,Sundim i ligjit,Vladavina prava,Rule of Law
