ID,sq,sr,en
2,Lokacioni (qyteti/komuna),Mesto (grad/opština),Location (town/municipality)
7,Cila është fusha juaj kryesore e veprimtarisë? (Ju lutem merrni shënim të gjitha fushat e veprimtarisë së organizatës),Koje je vaše glavno polje delatnosti? (Molimo vas da navedete sva polja delatnosti organizacije),Which is your main area of activity?
9,Cili nivel i qeverisjes është në fokusin kryesor të punës së organizatës suaj? ,Koji nivo vladavine je na fokusu rada vaše organizacije? (zaokruži samo jedan odgovor),Which level of governance is the main focus of the work of your organization?
11,Në cilin vit është themeluar organizata juaj?,U kojoj je godini osnovana vaša organizacija?,In which year was your organization established?
14,Cila është forma e regjistrimit të organizatës tuaj? ,Koji je oblik registracije vaše organizacije? (zaokruži samo jedan odgovor) ,Which is the form of registration of your organization? 
15,A ka organizata juaj Status për Përfitim Publik?,Da li vaša organizacija ima status javnog korisnika?  ,Does your organization have a Public Beneficiary Status?
18,Cili është organi më i lartë drejtues i organizatës tuaj? ,Koji je najviši upravni organ u vašoj organizaciji? ,What is the highest governing body of your organization?
22,Cilat nga këto i paguani në baza të rregullta? ,Šta od ovoga redovno plaćate ? (Zaokružiti sve odgovore koji se primenjuju) ,Which of these you pay on a regular basis? 
23,A raportoni rregullisht në Administratën Tatimore të Kosovës (ATK)? ,Da li redovno podnosite izveštaj Poreskoj upravi Kosova (PUK)? ,Do you report regularly to the Tax Administration of Kosovo (TAK)?
26,Sa auditime të jashtme financiare i keni pasur gjatë vitit 2017? ,Koliko ste spoljnih finansijskih revizija  imali 2017. godine? ,How many external financial audits have you had during the year 2017? 
27,A i posedon organizata juaj dokumentet e mëposhtme? ,Da li poseduje vaša organizacija sledeća dokumenta? ,Does your organization possess the following documents?
32,Si i vlerësoni kapacitet e organizatës suaj për të mëposhtmet? ,Kako ocjenjujete sposobnost svoje organizacije u vezi sa niže navedenim ? ,How do you evaluate the capacity of your organization for the following?
33,"Në përgjithësi, kohëzgjatja e qëndrimit të stafit në organizatën tuaj është: ","U principu, koliko ostaju zaposleni u vašoj organizaciji:","In general, the duration of stay of the staff in your organization is:"
34,"Në fushën në të cilën vepron organizata juaj, stafi juaj është: ","U oblasti u kojoj deluje vasa organizacija, vaše osoblje je:","Within the scope of activity of the organization, your staff is:"
36,Cilat janë 3 aftësitë dhe 3 mangësitë kryesore të stafit tuaj? ,Koje su 3 glavne veštine i 3 glavna nedostatka vašeg osoblja? ,What are 3 main skills and 3 main shortcomings of your staff?
43,A keni angazhuar vullnetarë gjatë vitit 2017 në organizatën tuaj?,Da li ste angažovali volontere u vašoj organizaciji u toku 2017.godine ?,Have you engaged volunteers during 2017 in your organization?
45,"Në sa rrjete, grupe ombrellë ose federata është anëtare organizata juaj? ","U kojim je mrežama, pokroviteljskim grupama ili federacijama vaša organizacija član ? ","In how many networks, umbrella groups or federations is your organization a member?"
48,"Gjatë 3 muajve të fundit, përafërsisht me sa organizata tjera që veprojnë brenda Kosovës në fushën tuaj keni pasur takime ose keni shkëmbyer informata (p.sh. dokumente, raporte, të dhëna)? ","U poslednja 3 meseca, sa koliko  ste , približno,  drugih organizacija koje deluju na Kosovu u vašoj oblasti imali sastanke ili ste razmenili informacije (npr. dokumenata, izveštaje, podatke itd.)? ","In the 3 last months, with approximately how many other organizations operating inside Kosovo in your scope of activity have you had meetings or have exchanged information (e.g. documents, reports, data)? "
50,"Gjatë 3 muajve të fundit, përafërsisht me sa organizata tjera që veprojnë jashtë Kosovës në fushën tuaj keni pasur takime ose keni shkëmbyer informata (p.sh. dokumente, raporte, të dhëna)? ","Tokom 3 zadnja meseca, približno sa koliko drugih organizacija koje rade van Kosova u vašoj oblasti ste imali sastanaka ili ste razmenili informacije (npr. Dokumente, izveštaje, podatke)? ","In the 3 last months, with approximately how many other organizations operating outside Kosovo in your scope of activity have you had meetings or have exchanged information (e.g. documents, reports, data)?"
58,"Si organizatë, a keni organizuar/tentuar të organizoni ndonjë tubim (protestë, marsh, performancë në ambient të hapur) gjatë vitit 2017? ","Kao organizacija da li ste organizovali  / pokušali da organizujete bilo kakav skup  (proteste, marš, predstavu/nastupanje na otvorenom) tokom 2017. godine? ","As an organization, have you organized/attempted to organize any rally (protest, march, performance in open environment) during 2017?"
64,"Për çfarë periudhe kohore e bën organizata juaj zakonisht planifikimin e punës (strategji, plan të aktiviteteve)? ","Za koji vremenski period vaša organizacija uglavnom vrši planiranje rada ( Strategija,plan aktivnosti)?","For what time period does your organization normally plan its work (strategy, action plan)? (Circle only one answer)"
65,A keni arritur të siguroni mjaftueshëm fonde për të siguruar vazhdimësinë e punës të organizatës gjatë vitit 2017?,Da li ste uspeli da obezbedite dovoljno sredstava da bi ste obezbedili kontinuitet posla organizacije u toku  2017 godine?,Have you managed to ensure sufficient funds to ensure continuity of work of the organization during 2017?
66,Sa projekte/grante keni zbatuar gjatë vitit të fundit? ,Koliko ste projekata/grantova realizovali u proteklih godinu dana? (Upišite 0 ako organizacija nije realizovala nijedan projekat u prošloj godini),How many projects/grants have you implemented in the last year? (Note 0 if your organization has not implemented any of the projects during the last year)
67,Cila nga kategoritë e mëposhtme do të përshkruante më së miri të hyrat vjetore të organizatës suaj gjatë vitit 2017?,Koja od sledećih kategorija bi  najbolje opisala godišnji prihod vaše organizacije u 2017 godini?,Which of the following categories would best describe the annual revenues of your organization during 2017?
68,"Në krahasim me vitin e kaluar, të ardhurat e organizatës suaj në vitin 2017 ",U poređenju sa prošlom godinom koji su prihodi organizacije u  2017 godini,"Compared to last year, the revenues of your organization in 2017"
68.1,Të ardhurat në vitin 2017,Prihodi u 2017,Revenues in 2017
69,Çfarë lloji të përkrahjes keni pranuar gjatë vitit 2017? ,Koju ste vrstu podrške primili u toku 2017 godine? ,What type of support have you had during the year 2017? 
74,A keni përfituar fonde nga Bashkimi Europian gjatë vitit 2017?,Da li ste dobili sredstva od Evropske Unije u toku 2017. godine? ,Have you received funds from the European Union during the year 2017?
78,A keni përfituar fonde nga autoritetet shtetërore (qendrore apo komunale) gjatë vitit të fundit?,Da li ste dobili sredstva od državnih organa (centralnih ili opštinskih) prošle godine?,Have you received funds from the state authorities (central or municipal) during the past year?
94,kryen organizata juaj ndonjërin prej aktiviteteve të mëposhtme (këtu NUK përfshihen aktivitetet të cilat financohen nga donatorët)?,Da li obavlja vaša organizacija neku od sledećih aktivnosti (neuključujući aktivnosti koje finansiraju donatori)? ,Does your organization carry out either of the following activities (IT does not include activities which are financed by donors)?
96,A keni pranuar ftesë për t’u konsultuar rreth programimit të fondeve të ndonjë donatori të huaj gjatë vitit 2017?,Da li ste prihvatili poziv za konsultacije o programiranju sredstava nekog stranog donatora u toku 2017. godine?,Have you received invitation to be consulted about programming any foreign donor funds during the year 2017?
97,"Nëse po, nga cilët donatorë jeni ftuar për konsultime rreth programimit të fondeve? ","Ukoliko je odgovor da, koji donatori su vas pozvali na konsultacije o programiranju sredstvima? ","If yes, who from donors were you invited for consultations about program funds?"
102,"Sa shpesh komunikoni (shkëmbeni informata, mbani takime, organizoni aktivitete të përbashkëta) me institucionet publike të cilat veprojnë në fushën/fushat e njejta me ju? ","Koliko često komunicirate (razmenjujete informacije, održavate sastanke, organizujete  zajedničke aktivnosti) sa javnim institucijama koje posluju u istoj oblasti / području kao vašoj? ","How often do you communicate (exchange information, hold meetings, organize joint activities) with public institutions which act within the similar filed/fields as you do?"
103,A komunikon organizata juaj me institucionet e veçanta për bashkëpunim me organizatat e shoqërisë civile? ,Da li vaša organizacija komunicira sa pojedinim institucijama za saradnju sa organizacijama civilnog društva? ,Does your organization communicate with specific institutions for cooperation with civil society organizations?
