ID,sr,sq,en
7.1.,Studentska organizacija,Organizatë Studentore,Student Organization
7.2.,Omladina,Rini,Youth
7.3.,Sport,Sport,Sport
7.4.,Transparencija i /ili odgovornost,Transparencë dhe/apo llogaridhënie,Transparency and/or accountability
7.5.,Društvena uključenost,Përfshirje sociale,Social inclusion
7.6.,Socijalna i psihološka pomoć,Ndihmë sociale dhe psikologjike,Social and psychological assistance
7.7.,Davanje fondova,Dhënie të fondeve,Providing funds
7.8.,Nauka,Shkencë,Science
7.9.,Flora i fauna,Flora dhe fauna,Flora and Fauna
7.10.,Ruralni razvoj,Zhvillim rural,Rural Development
7.11.,Evropske integracije,Integrime Europiane,European Integration
7.12.,Istraživanja i analize,Hulumtime dhe analiza,Research and analysis
7.13.,Životna sredina,Mjedis,Environment
7.14.,Izbeglice/Repatrijacija,Refugjatë/Riatdhesim,Repatriation/Refugees
7.15.,Zaposlenje,Punësim,Employment
7.16.,Izgradnja mira,Ndërtim i paqes,Peace building
7.17.,Obrazovanje,Arsim,Education
7.18.,Profesionalne obuke,Trajnime profesionale,Vocational training
7.19.,Razvoj civilnog društva/NVO-a,Zhvillim i shoqërisë civile/OJQ-ve,Development of civil society/NGO
7.20.,Privredni razvoj,Zhvillim ekonomik,Economic development
7.21.,Prava manjina,Të drejta të pakicave,Minority rights
7.22.,Demokratizacija,Demokratizim,Democratization
7.23.,Vladavina prava,Sundim i ligjit,Rule of law
7.24.,Mikrofinansije,Mikrofinanca,Micro-finance
7.25.,Kultura,Kulturë,Culture
7.26.,Udruzenje medija,Shoqatë e mediave,Association of media
7.27.,Kulturno nasleđe,Trashëgimi kulturore,Cultural Heritage
7.28.,Pravna pomoć,Asistencë ligjore,Legal Assistance
7.29.,Zaštita potrošača,Mbrojtje e konsumatorëve,Protection of Customers
7.30.,Informativna tehnologija (IT),Teknologji Informative (TI),Information Technology (IT)
7.31.,Građansko učesništvo,Pjesëmarrje qytetare,Civic Participation
7.32.,Humanitarna pomoć,Ndihmë humanitare,Humanitarian Aid
7.33.,Decija prava,Të drejta të fëmijëve,Children's Rights
7.34.,Ljudska prava,Të drejta të njeriut,Human Rights
7.35.,Podrška biznisu,Përkrahje e biznesit,Business Support
7.36.,Nasleđe,Trashëgimi,Heritage
7.37.,Pomoć licima sa posebnim potrebama,Ndihmë personave me nevoja të veçanta,Support to persons with special needs
7.38.,Zdravstvena nega,Përkujdesje shëndetësore,Health care
7.39.,Poljoprivreda,Bujqësi,Agriculture
7.40.,Jednakost polova / osnaživanje žena,Barazi gjinore/fuqizim i grave,Gender equality / empowerment of women
7.41.,Advociranje i lobiziranje,Avokim dhe lobim,Advocacy and lobbying
7.42.,Ostalo,Tjeter,Other
9.1.,Specifično selo/gradić,Fshati/qyteza specifike,Specific village/town
9.2.,Specifična opština,Komuna specifike,Specific municipality
9.3.,Veliki broj opština/Više opština,Një numër i madh komunash,A large number of municipalities
9.4.,Jedna institucija/nekoliko nezavisnih institucija,Një institucion/disa institucione të pavarura,An institution/several independent institutions
9.5.,Jedno ministarstvo/odelenje ministarstva,Një ministri/departament i ministrisë,A ministry/department of the ministry
9.6.,Nekoliko ministarstava/vlada,Disa ministri/qeveria,Several ministries/government
9.7.,Skupština Kosova,Kuvendi i Kosovës,Assembly of Kosovo
14.1.,Udruženje (članska organizacija),Shoqatë (organizatë e anëtarësisë),Association (membership-based organization)
14.2.,Fondacija (organizacija bez članstva),Fondacion (organizatë pa anëtarësi),Foundation (an organization without membership)
15.1.,Da,Po,Yes
15.2.,Ne,Jo,No
18.1.,Skupština članova (pređite na pitanje 20),Kuvendi i anëtarëve (Kalo në pyetjen 20),Members Assembly
18.2.,Upravni odbor,Bordi,Board
18.3.,Direktor / direktorica organizacije (pređite na pitanje 20),Drejtori/drejtoresha e organizatës (Kalo në pyetjen 20),Director of the organization
18.4.,Ostalo,Tjetër,Other
22.1.1.,,,Personal Income Tax
22.2.1.,,,Pension contributions for employees
22.3.1.,,,Rent/property tax
22.4.1.,,,Corporate Income Tax/Profit Tax
22.5.1.,,,Value Added Tax (VAT)
22.6.1.,,,Health insurance for employees
22.7.1.,,,Other
23.1.,,,"Yes, we report regularly"
23.2.,,,"No, we do not report regularly"
23.3.,,,"No, we never report"
23.99.,,,Refuse to answer
29.1.1.,"Da, i dostavlja dokument","Po, dhe tregon dokumentin","Yes, and shows the document"
29.1.2.,"Da, ali ne dostavlja dokument","Po, por nuk tregon dokumentin","Yes, but does not show the document"
29.1.3.,"Ne, organizacija nema ovaj dokument","Jo, organizata nuk e ka këtë dokument","No, organizations does not have this document"
29.2.1.,"Da, i dostavlja dokument","Po, dhe tregon dokumentin","Yes, and shows the document"
29.2.2.,"Da, ali ne dostavlja dokument","Po, por nuk tregon dokumentin","Yes, but does not show the document"
29.2.3.,"Ne, organizacija nema ovaj dokument","Jo, organizata nuk e ka këtë dokument","No, organizations does not have this document"
29.3.1.,"Da, i dostavlja dokument","Po, dhe tregon dokumentin","Yes, and shows the document"
29.3.2.,"Da, ali ne dostavlja dokument","Po, por nuk tregon dokumentin","Yes, but does not show the document"
29.3.3.,"Ne, organizacija nema ovaj dokument","Jo, organizata nuk e ka këtë dokument","No, organizations does not have this document"
29.4.1.,"Da, i dostavlja dokument","Po, dhe tregon dokumentin","Yes, and shows the document"
29.4.2.,"Da, ali ne dostavlja dokument","Po, por nuk tregon dokumentin","Yes, but does not show the document"
29.4.3.,"Ne, organizacija nema ovaj dokument","Jo, organizata nuk e ka këtë dokument","No, organizations does not have this document"
29.5.1.,"Da, i dostavlja dokument","Po, dhe tregon dokumentin","Yes, and shows the document"
29.5.2.,"Da, ali ne dostavlja dokument","Po,por nuk tregon dokumentin","Yes, but does not show the document"
29.5.3.,"Ne, organizacija nema ovaj dokument","Jo, organizata nuk e ka këtë dokument","No, organizations does not have this document"
35.1.1.,Visok,I lartë,High
35.1.2.,Prosečan,Mesatar,Medium
35.1.3.,Nizak,I ulët,Low
36.1.,Ne duže od godinu dana,Jomëshumëse1vit,Not more than 1 year
36.2.,U proseku dve godine,Mesatarisht 2 vite,An average of 2 years
36.3.,3-5 godina,3-5 vite,3 - 5 years
36.4.,Duže od 5 godina,Më shumë se 5 vite,More than 5 years
36.99.,,,Refuse to answer
37.1.,Profesionalno vrlo pripremljeno za relevantnu oblast i rad,Shumë i përgatitur profesionalisht për fushën dhe punën përkatëse,Highly prepared professionally for the field and related work
37.2.,Profesionalno prosečno pripremljeno za relevantnu oblast i rad,Mesatarisht i përgatitur profesionalisht për fushën dhe punën përkatëse,Averagely prepared professionally for the field and related work
37.3.,Profesionalno nepripremljeno za relevantnu oblast i rad,I papërgatitur profesionalisht për fushën dhe punën përkatëse,Unprepared professionally for the field of related work
48.1.,Da,Po,Yes
48.2.,Ne,Jo,No
65.1.,Da,Po,Yes
65.2.,Ne,Jo,No
72.1.,Za period kraći od 6 meseci,Për periudhë më të shkurtër se 6 muaj,For a period shorter than 6 months
72.2.,Za period između 6 i 12 meseci,Për periudhë në mes të 6 dhe 12 muaj,For a period between 6 and 12 months
72.3.,Za period između 13 i 24 meseci,Për periudhë në mes të 13 dhe 24 muaj,For a period between 13 and 24 months
72.4.,Za periodu između 24 i 36 meseci,Për periudhë në mes të 24 dhe 36 muaj,For a period between 24 and 36 months
72.5.,Za period duži od 36 meseci,Për periudhë më të gjatë se 36 muaj,For a period longer than 36 months
73.1.,Da,Po,Yes
73.2.,Ne,Jo,No
73.99.,,,Refuse to answer
75.1.,"Manje 10,000 evra godišnje","Më pak se 10,000 EUR në vit","Less than € 10,000 per year"
75.2.,"10,000 – 25,000 evra godišnje","10,000 – 25,000 EUR në vit","€ 10,000 - € 25,000 per year"
75.3.,"25,000 – 50,000 evra godišnje","25,000 – 50,000EUR ne vit","€ 25,000 - € 50,000 per year"
75.4.,"50,000 – 100,000 evra godišnje","50,000 – 100,000 EUR në vit","€ 50,000 - € 100,000 per year"
75.5.,"100,000 – 500,000 evra godišnje","100,000 – 500,000 EUR në vit","€ 100,000 - € 500,000 per year"
75.6.,"500,000 – 1,000,000 evra godišnje","500,000 – 1,000,000 EUR në vit","€ 500,000 - € 1,000,000 per year"
75.7.,"1,000,000 – 2,000,0000 evra godišnje","1,000,000 EUR – 2,000,0000 në vit","€ 1,000,000 - € 2,000,000 per year"
75.8.,"2,000,0000 – 4,000,000 evra godišnje","2,000,0000 – 4,000,000 EUR në vit","€ 2,000,000 - € 4,000,000 per year"
75.9.,"Preko 4,000,000 evra godišnje","Mbi 4,000,000EUR ne vit","Over € 4,000,000 per year"
75.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
76.1.1.,Povećali su se,Janë rritur,They grew
76.1.2.,Nisu se promenili,Nuk kanë ndryshuar,Have not changed
76.1.3.,Smanjili su se,Janë zvogëluar,Have reduced
76.1.99.,Ne primenjuju se (organizacija je formirana u 2015 godini),Nuk aplikohet (organizata është hapur në vitin 2015),Does not apply (organization was opened in 2015)
76.2.1.,Povećali su se,Janë rritur,They grew
76.2.2.,Nisu se promenili,Nuk kanë ndryshuar,Have not changed
76.2.3.,Smanjili su se,Janë zvogëluar,Have reduced
76.2.99.,Ne primenjuju se (organizacija je formirana u 2015 godini),Nuk aplikohet (organizata është hapur në vitin 2015),Does not apply (organization was opened in 2015)
77.1.1.,Grantove za projekte,Grante për projekte,Grants for projects
77.2.1.,Institucionalne grantove,Grante institucionale,Institutional grants
77.3.1.,Ugovor za pružanje usluga,Kontrata për shërbime,Service contracts
77.4.1.,Tehničku pomoć,Asistencë teknike,Technical assistance
