ID,sr,sq,en
2,Mesto (grad/opština),Lokacioni (qyteti/komuna),Location (town/municipality)
7,Koje je vaše glavno polje delatnosti?,Cila është fusha juaj kryesore e veprimtarisë?,Which is your main area of activity?
9,Koji nivo vladavine je na fokusu rada vaše organizacije?,Cili nivel i qeverisjes është në fokusin kryesor të punës së organizatës suaj?,Which level of governance is the main focus of the work of your organization?
11,U kojo se godini je osnovana vaša organizacija?,Në cilin vit është themeluar organizata juaj?,In which year was your organization established?
14,Koji je oblik registracije vaše organizacije?,Cila është forma e regjistrimit të organizatës tuaj?,Which is the form of registration of your organization?
15,Da li vaša organizacija ima status javnog korisnika?,A ka organizata juaj Status për Përfitim Publik?,Does your organization have a Public Beneficiary Status?
18,Koji je najviši upravni organ u vašoj organizaciji?,Cili është organi më i lartë drejtues i organizatës tuaj?,What is the highest governing body of your organization?
22,Šta od ovoga redovno plaćate ?,Cilat nga këto i paguani në baza të rregullta?,Which of these you pay on a regular basis?
23,Da li redovno podnosite izveštaj Poreskoj upravi Kosova (PUK)?,A raportoni rregullisht në Administratën Tatimore të Kosovës (ATK)?,Do you report regularly to the Tax Administration of Kosovo (TAK)?
28,Koliko ste spoljnih finansijskih revizija imali 2015. godine?,Sa auditime të jashtme financiare i keni pasur gjatë vitit 2015?,How many external financial audits have you had during the year 2015?
29,Da li poseduje vaša organizacija sledeća dokumenta?,A i posedon organizata juaj dokumentet e mëposhtme?,Does your organization possess the following documents?
34,Kakva je rodna struktura vaše organizacije?,Çfarë është struktura gjinore e organizatës tuaj?,What is gender structure of your organization?
35,Kako ocjenjujete sposobnost svoje organizacije u vezi sa niže navedenim ?,Si i vlerësoni kapacitet e organizatës suaj për të mëposhtmet?,How do you evaluate the capacity of your organization for the following?
36,"U principu, koliko ostaju zaposleni u vašoj organizaciji:","Në përgjithësi, kohëzgjatja e qëndrimit të stafit në organizatën tuaj është:","In general, the duration of stay of the staff in your organization is:"
37,"Na osnovu oblasti delatnosti organizacije, vaše osoblje je:","Bazuar në fushën e veprimtarisë së organizatës, stafi juaj është:","Based on the scope of activity of the organization, your staff is:"
39,Koje su 3 glavne veštine i 3 glavna nedostatka vašeg osoblja?,Cilat janë 3 aftësitë dhe 3 mangësitë kryesore të stafit tuaj?,What are 3 main skills and 3 main shortcomings of your staff?
48,Da li ste angažovali volontere u vašoj organizaciji u toku 2015.godine ?,A keni angazhuar vullnetarë gjatë vitit 2015 në organizatën tuaj?,Does the subject of civil education promote this engagement?
51,"U kojim je mrežama, pokroviteljskim grupama ili federacijama vaša organizacija član ?","Në sa rrjete, grupe ombrellë ose federata është anëtare organizata juaj?","In how many networks, umbrella groups or federations is your organization a member?"
54,"U poslednja 3 meseca, sa koliko ste , približno, drugih organizacija koje deluju na Kosovu u vašoj oblasti imali sastanke ili ste razmenili informacije (npr. dokumenata, izveštaje, podatke itd.)?","Gjatë 3 muajve të fundit, përafërsisht me sa organizata tjera që veprojnë brenda Kosovës në fushën tuaj keni pasur takime ose keni shkëmbyer informata (p.sh. dokumente, raporte, të dhëna)?","In the 3 last months, with approximately how many other organizations operating inside Kosovo in your scope of activity have you had meetings or have exchanged information (e.g. documents, reports, data)?"
56,"Tokom 3 zadnja meseca, približno sa koliko drugih organizacija koje rade van Kosova u vašoj oblasti ste imali sastanaka ili ste razmenili informacije (npr. Dokumente, izveštaje, podatke)?","Gjatë 3 muajve të fundit, përafërsisht me sa organizata tjera që veprojnë jashtë Kosovës në fushën tuaj keni pasur takime ose keni shkëmbyer informata (p.sh. dokumente, raporte, të dhëna)?","In the 3 last months, with approximately how many other organizations operating outside Kosovo in your scope of activity have you had meetings or have exchanged information (e.g. documents, reports, data)?"
65,"Da li ste organizovali / pokušali da organizujete bilo kakav skup (proteste, marš, predstavu/nastupanje na otvorenom) tokom 2015. godine?","A keni organizuar/tentuar të organizoni ndonjë tubim (protestë, marsh, performancë në ambient të hapur) gjatë vitit 2015?","Have you organized/attempted to organize any rally (protest, march, performance in open environment) during 2015?"
72,Za koji vremenski period vaša organizacija uglavnom vrši planiranje rada?,Për çfarë periudhe kohore e bën organizata juaj zakonisht planifikimin e punës?,For what time period does your organization normally do the work planning?
73,Da li ste uspeli da obezbedite dovoljno sredstava da bi ste obezbedili kontinuitet aktivnosti u toku 2015 godine?,A keni arritur të siguroni mjaftueshëm fonde për të siguruar vazhdimësinë e aktiviteteve gjatë vitit 2015?,Have you managed to ensure sufficient funds to ensure continuity of activity during 2015?
74,Koliko ste projekata realizovali u proteklih godinu dana?,Sa projekte keni zbatuar gjatë vitit të fundit?,How many projects have you implemented in the last year?
75,Koja od sledećih kategorija bi najbolje opisala godišnji prihod vaše organizacije u 2015 godini?,Cila nga kategoritë e mëposhtme do të përshkruante më së miri të hyrat vjetore të organizatës suaj gjatë vitit 2015?,Which of the following categories would best describe the annual revenues of your organization during 2015?
76,U poređenju sa prošlom godinom koji su prihodi i rashodi vaše organizacije u 2015 godini....,"Në krahasim me vitin e kaluar, të ardhurat dhe shpenzimet e organizatës suaj në vitin 2015....","Compared to last year, the revenues and expenses of your organization in 2015...."
76.1,,,Revenues in 2015
76.2,,,Expenses in 2015
77,Koju ste vrstu finansijske pomoći primili u toku 2015 godine?,Çfarë lloji të përkrahjes financiare keni pranuar gjatë vitit 2015?,What type of financial support have you had during the year 2015?
80,"80. U toku 2015. godine, koji je procenat finansijskih resursa vaše organizacije dobijen iz sledećih izvora?","Gjatë vitit 2015, çfarë përqindje e burimeve financiare të organizatës suaj kanë ardhur prej burimeve në vijim?","During 2015, what percentage of financial sources of your organization came from the following sources?"
81,Da li je vaša organizacija primila strane fondove u toku prošle godine?,A ka marrë organizata juaj fonde të huaja gjatë vitit të fundit?,Has your organization received foreign funds during the last year?
82,Da li je vaša organizacija primala doprinose od privatnih lokalnih donatora (pojedinaca ili kompanija sa Kosova)?,A ka marrë organizata juaj kontribute nga donatorët privat vendorë (individ apo kompani nga Kosova)?,Has your organization received contributions from local private donors (individual or local private companies from Kosovo)?
84,Da li ste dobili sredstva od Evropske unije u toku 2015. godine?,A keni përfituar fonde nga Bashkimi Europian gjatë vitit 2015?,Have you received funds from the European Union during the year 2015?
88,88. Da li ste dobili sredstva od državnih organa (centralnih ili opštinskih) prošle godine?,A keni marrë fonde nga autoritetet shtetërore (qendrore apo komunale) gjatë vitit të fundit?,Have you received funds from the state authorities (central or municipal) during the past year?
